year,nestbox_id,lat_dd,lon_dd,species,lay_date,clutch_size,ld_doy
1971,HV.0025.0,52.0482800930111,5.84366763372023,pied flycatcher,1971-05-16,7,136
1972,HV.0025.0,52.0482800930111,5.84366763372023,great tit,1972-04-23,12,114
1973,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,1973-05-12,9,132
1974,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1974-06-05,9,156
1975,HV.0025.0,52.0438107607329,5.84734749320224,blue tit,1975-05-05,11,125
1977,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1977-05-01,12,121
1978,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,1978-05-04,7,124
1979,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1979-06-12,7,163
1980,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,1980-05-16,4,137
1981,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1981-04-12,10,102
1982,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1982-06-04,7,155
1983,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,1983-05-04,0,124
1984,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,1984-05-15,5,136
1986,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1986-06-04,10,155
1987,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1987-06-11,7,162
1988,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1988-04-24,4,115
1989,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,1989-05-17,6,137
1990,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1990-04-18,11,108
1991,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,1991-05-25,6,145
1992,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,NA,0,NA
1993,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1993-04-25,8,115
1994,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1994-04-23,0,113
1995,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1995-04-25,10,115
1996,HV.0025.0,52.0438107607329,5.84734749320224,blue tit,1996-05-05,9,126
1997,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1997-06-01,10,152
1998,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1998-04-19,11,109
1999,HV.0025.0,52.0438107607329,5.84734749320224,great tit,1999-05-03,8,123
2000,HV.0025.0,52.0438107607329,5.84734749320224,blue tit,2000-04-18,0,109
2002,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2002-05-07,6,127
2003,HV.0025.0,52.0438107607329,5.84734749320224,great tit,2003-04-21,11,111
2004,HV.0025.0,52.0438107607329,5.84734749320224,great tit,2004-05-25,7,146
2005,HV.0025.0,52.0438107607329,5.84734749320224,great tit,2005-04-15,8,105
2007,HV.0025.0,52.0438107607329,5.84734749320224,blue tit,2007-04-18,7,108
2008,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2008-05-06,7,127
2009,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2009-04-27,7,117
2010,HV.0025.0,52.0438107607329,5.84734749320224,great tit,2010-04-10,10,100
2011,HV.0025.0,52.0438107607329,5.84734749320224,great tit,2011-05-21,9,141
2012,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2012-05-02,7,123
2013,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2013-05-06,7,126
2014,HV.0025.0,52.0438107607329,5.84734749320224,great tit,2014-04-14,10,104
2015,HV.0025.0,52.0438107607329,5.84734749320224,blue tit,2015-04-28,3,118
2016,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2016-05-08,6,129
2017,HV.0025.0,52.0438107607329,5.84734749320224,great tit,2017-04-22,7,112
2018,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2018-05-07,6,127
2019,HV.0025.0,52.0438107607329,5.84734749320224,great tit,2019-04-06,10,96
2020,HV.0025.0,52.0438107607329,5.84734749320224,great tit,2020-04-19,8,110
2021,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2021-05-09,6,129
2022,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2022-05-28,5,148
2023,HV.0025.0,52.0438107607329,5.84734749320224,blue tit,2023-04-20,9,110
2024,HV.0025.0,52.0438107607329,5.84734749320224,blue tit,2024-04-09,13,100
2025,HV.0025.0,52.0438107607329,5.84734749320224,pied flycatcher,2025-04-22,7,112
1957,HV.0026.0,52.0490149762504,5.84261445985157,great tit,1957-04-30,10,120
1961,HV.0026.0,52.0490149762504,5.84261445985157,great tit,1961-05-16,8,136
1962,HV.0026.0,52.0490149762504,5.84261445985157,great tit,1962-05-06,9,126
1972,HV.0026.0,52.0490149762504,5.84261445985157,great tit,1972-06-08,7,160
1973,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1973-04-26,11,116
1974,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1974-04-15,9,105
1975,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1975-06-19,7,170
1976,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1976-04-24,6,115
1977,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1977-04-29,11,119
1978,HV.0026.0,52.0446354764851,5.84790988766555,blue tit,1978-04-25,11,115
1979,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1979-04-29,9,119
1980,HV.0026.0,52.0446354764851,5.84790988766555,pied flycatcher,1980-05-21,4,142
1981,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1981-05-05,8,125
1982,HV.0026.0,52.0446354764851,5.84790988766555,blue tit,1982-04-21,6,111
1983,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1983-06-01,7,152
1984,HV.0026.0,52.0446354764851,5.84790988766555,pied flycatcher,1984-05-15,6,136
1985,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1985-04-17,12,107
1986,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1986-05-02,11,122
1987,HV.0026.0,52.0446354764851,5.84790988766555,pied flycatcher,1987-05-05,7,125
1988,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1988-04-25,9,116
1989,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1989-05-06,10,126
1990,HV.0026.0,52.0446354764851,5.84790988766555,pied flycatcher,1990-05-15,6,135
1991,HV.0026.0,52.0446354764851,5.84790988766555,blue tit,1991-05-07,10,127
1992,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1992-04-14,4,105
1993,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1993-04-25,11,115
1994,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1994-04-15,10,105
1995,HV.0026.0,52.0446354764851,5.84790988766555,pied flycatcher,1995-05-09,7,129
1996,HV.0026.0,52.0446354764851,5.84790988766555,great tit,NA,NA,NA
1997,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1997-04-19,12,109
1998,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1998-04-12,10,102
1999,HV.0026.0,52.0446354764851,5.84790988766555,great tit,1999-04-15,10,105
2000,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2000-04-14,10,105
2001,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2001-04-26,9,116
2002,HV.0026.0,52.0446354764851,5.84790988766555,blue tit,2002-04-15,9,105
2003,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2003-04-19,10,109
2004,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2004-04-21,10,112
2005,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2005-04-16,10,106
2006,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2006-04-23,10,113
2007,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2007-04-23,6,113
2008,HV.0026.0,52.0446354764851,5.84790988766555,blue tit,2008-04-17,16,108
2009,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2009-04-17,10,107
2010,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2010-04-12,9,102
2011,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2011-04-16,0,106
2012,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2012-04-09,9,100
2013,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2013-05-05,6,125
2014,HV.0026.0,52.0446354764851,5.84790988766555,blue tit,2014-04-08,10,98
2015,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2015-05-11,8,131
2016,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2016-04-24,0,115
2017,HV.0026.0,52.0446354764851,5.84790988766555,blue tit,2017-04-17,0,107
2018,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2018-04-20,7,110
2019,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2019-04-26,8,116
2020,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2020-04-20,NA,111
2021,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2021-05-01,8,121
2022,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2022-04-20,10,110
2023,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2023-04-17,8,107
2024,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2024-04-08,9,99
2025,HV.0026.0,52.0446354764851,5.84790988766555,great tit,2025-04-18,7,108
1955,HV.0027.0,52.0503014140077,5.84633094173505,great tit,1955-06-19,10,170
1957,HV.0027.0,52.0503014140077,5.84633094173505,great tit,1957-04-22,10,112
1959,HV.0027.0,52.0503014140077,5.84633094173505,great tit,1959-06-06,9,157
1961,HV.0027.0,52.0503014140077,5.84633094173505,blue tit,1961-04-18,11,108
1964,HV.0027.0,52.0503014140077,5.84633094173505,coal tit,1964-04-19,8,110
1965,HV.0027.0,52.0503014140077,5.84633094173505,great tit,1965-04-16,12,106
1967,HV.0027.0,52.0503014140077,5.84633094173505,great tit,1967-06-06,9,157
1968,HV.0027.0,52.0503014140077,5.84633094173505,blue tit,1968-05-01,8,122
1969,HV.0027.0,52.0503014140077,5.84633094173505,great tit,1969-05-03,9,123
1971,HV.0027.0,52.0503014140077,5.84633094173505,pied flycatcher,1971-05-14,6,134
1972,HV.0027.0,52.0503014140077,5.84633094173505,great tit,1972-04-17,11,108
1973,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1973-04-29,10,119
1974,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1974-04-15,9,105
1975,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1975-05-16,10,136
1977,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1977-04-26,9,116
1978,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1978-04-30,10,120
1979,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1979-04-29,8,119
1980,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1980-04-20,11,111
1981,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1981-04-13,9,103
1982,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1982-04-13,7,103
1983,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1983-04-23,11,113
1984,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1984-04-26,10,117
1985,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1985-04-24,10,114
1986,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1986-04-29,12,119
1987,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1987-04-22,13,112
1988,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1988-04-24,8,115
1990,HV.0027.0,52.0449457670614,5.84900634189758,pied flycatcher,1990-05-12,7,132
1991,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1991-04-23,8,113
1992,HV.0027.0,52.0449457670614,5.84900634189758,blue tit,1992-04-17,10,108
1993,HV.0027.0,52.0449457670614,5.84900634189758,blue tit,1993-04-20,8,110
1994,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1994-04-16,10,106
1995,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1995-05-01,10,121
1996,HV.0027.0,52.0449457670614,5.84900634189758,blue tit,1996-05-04,0,125
1997,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1997-04-12,16,102
1998,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1998-05-07,10,127
1999,HV.0027.0,52.0449457670614,5.84900634189758,great tit,1999-04-22,9,112
2000,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2000-06-03,8,155
2001,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2001-05-03,7,123
2002,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2002-04-23,9,113
2003,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2003-04-08,8,98
2005,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2005-04-16,5,106
2007,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2007-04-10,9,100
2008,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2008-04-18,10,109
2009,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2009-04-14,0,104
2010,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2010-04-30,3,120
2011,HV.0027.0,52.0449457670614,5.84900634189758,blue tit,2011-04-11,11,101
2012,HV.0027.0,52.0449457670614,5.84900634189758,blue tit,2012-04-18,0,109
2013,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2013-04-30,0,120
2014,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2014-04-20,8,110
2015,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2015-04-16,10,106
2016,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2016-04-22,8,113
2017,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2017-04-07,5,97
2018,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2018-04-21,8,111
2019,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2019-04-23,3,113
2020,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2020-04-23,6,114
2021,HV.0027.0,52.0449457670614,5.84900634189758,blue tit,2021-04-26,NA,116
2022,HV.0027.0,52.0449457670614,5.84900634189758,blue tit,2022-04-18,8,108
2023,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2023-04-24,9,114
2024,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2024-04-15,10,106
2025,HV.0027.0,52.0449457670614,5.84900634189758,great tit,2025-04-08,8,98
1955,HV.0028.0,52.0499219155423,5.84657016721933,great tit,1955-06-09,10,160
1958,HV.0028.0,52.0499219155423,5.84657016721933,coal tit,1958-06-23,8,174
1961,HV.0028.0,52.0499219155423,5.84657016721933,coal tit,1961-04-08,10,98
1963,HV.0028.0,52.0499219155423,5.84657016721933,great tit,1963-04-24,12,114
1969,HV.0028.0,52.0499219155423,5.84657016721933,coal tit,1969-04-22,11,112
1971,HV.0028.0,52.0499219155423,5.84657016721933,great tit,1971-04-26,8,116
1972,HV.0028.0,52.0499219155423,5.84657016721933,blue tit,1972-04-14,9,105
1973,HV.0028.0,52.045309171735,5.85030743766756,great tit,1973-05-03,3,123
1974,HV.0028.0,52.045309171735,5.85030743766756,great tit,1974-04-20,7,110
1975,HV.0028.0,52.045309171735,5.85030743766756,great tit,1975-05-03,8,123
1976,HV.0028.0,52.045309171735,5.85030743766756,great tit,1976-05-03,7,124
1977,HV.0028.0,52.045309171735,5.85030743766756,great tit,1977-04-28,9,118
1978,HV.0028.0,52.045309171735,5.85030743766756,coal tit,1978-04-11,8,101
1979,HV.0028.0,52.045309171735,5.85030743766756,great tit,1979-05-02,11,122
1980,HV.0028.0,52.045309171735,5.85030743766756,great tit,1980-04-14,12,105
1981,HV.0028.0,52.045309171735,5.85030743766756,great tit,1981-04-20,0,110
1982,HV.0028.0,52.045309171735,5.85030743766756,great tit,1982-04-16,8,106
1983,HV.0028.0,52.045309171735,5.85030743766756,great tit,1983-04-21,12,111
1984,HV.0028.0,52.045309171735,5.85030743766756,great tit,1984-04-24,10,115
1985,HV.0028.0,52.045309171735,5.85030743766756,great tit,1985-04-23,9,113
1986,HV.0028.0,52.045309171735,5.85030743766756,great tit,1986-05-01,12,121
1987,HV.0028.0,52.045309171735,5.85030743766756,coal tit,1987-05-05,8,125
1988,HV.0028.0,52.045309171735,5.85030743766756,great tit,1988-04-25,4,116
1990,HV.0028.0,52.045309171735,5.85030743766756,great tit,1990-04-25,8,115
1991,HV.0028.0,52.045309171735,5.85030743766756,great tit,1991-05-19,7,139
1992,HV.0028.0,52.045309171735,5.85030743766756,great tit,1992-04-13,10,104
1993,HV.0028.0,52.045309171735,5.85030743766756,great tit,1993-04-21,9,111
1994,HV.0028.0,52.045309171735,5.85030743766756,blue tit,1994-04-25,11,115
1995,HV.0028.0,52.045309171735,5.85030743766756,great tit,1995-04-28,11,118
1996,HV.0028.0,52.045309171735,5.85030743766756,great tit,1996-04-26,8,117
1997,HV.0028.0,52.045309171735,5.85030743766756,great tit,1997-04-14,9,104
1998,HV.0028.0,52.045309171735,5.85030743766756,great tit,1998-04-28,11,118
1999,HV.0028.0,52.045309171735,5.85030743766756,great tit,1999-04-18,10,108
2001,HV.0028.0,52.045309171735,5.85030743766756,great tit,2001-04-28,8,118
2002,HV.0028.0,52.045309171735,5.85030743766756,great tit,2002-04-12,0,102
2004,HV.0028.0,52.045309171735,5.85030743766756,great tit,2004-04-17,10,108
2005,HV.0028.0,52.045309171735,5.85030743766756,great tit,2005-04-17,9,107
2006,HV.0028.0,52.045309171735,5.85030743766756,great tit,2006-04-23,11,113
2007,HV.0028.0,52.045309171735,5.85030743766756,great tit,2007-04-11,1,101
2008,HV.0028.0,52.045309171735,5.85030743766756,great tit,2008-04-16,7,107
2009,HV.0028.0,52.045309171735,5.85030743766756,great tit,2009-04-10,10,100
2010,HV.0028.0,52.045309171735,5.85030743766756,blue tit,2010-04-19,12,109
2011,HV.0028.0,52.045309171735,5.85030743766756,great tit,2011-04-23,0,113
2012,HV.0028.0,52.045309171735,5.85030743766756,great tit,2012-04-09,9,100
2013,HV.0028.0,52.045309171735,5.85030743766756,great tit,2013-04-30,11,120
2014,HV.0028.0,52.045309171735,5.85030743766756,great tit,2014-04-06,11,96
2015,HV.0028.0,52.045309171735,5.85030743766756,great tit,2015-04-26,8,116
2016,HV.0028.0,52.045309171735,5.85030743766756,great tit,2016-04-16,12,107
2017,HV.0028.0,52.045309171735,5.85030743766756,great tit,2017-04-06,9,96
2018,HV.0028.0,52.045309171735,5.85030743766756,great tit,2018-04-21,0,111
2019,HV.0028.0,52.045309171735,5.85030743766756,great tit,2019-04-19,6,109
2020,HV.0028.0,52.045309171735,5.85030743766756,great tit,2020-04-18,7,109
2021,HV.0028.0,52.045309171735,5.85030743766756,great tit,2021-04-26,6,116
2022,HV.0028.0,52.045309171735,5.85030743766756,great tit,2022-04-19,6,109
2023,HV.0028.0,52.045309171735,5.85030743766756,pied flycatcher,2023-05-04,7,124
2024,HV.0028.0,52.045309171735,5.85030743766756,pied flycatcher,2024-04-19,5,110
2025,HV.0028.0,52.045309171735,5.85030743766756,great tit,2025-04-13,NA,103
1956,HV.0029.0,52.0493010020722,5.84500914806763,great tit,1956-05-16,8,137
1957,HV.0029.0,52.0493010020722,5.84500914806763,great tit,1957-04-29,10,119
1958,HV.0029.0,52.0493010020722,5.84500914806763,great tit,1958-06-14,10,165
1961,HV.0029.0,52.0493010020722,5.84500914806763,great tit,1961-04-18,9,108
1965,HV.0029.0,52.0493010020722,5.84500914806763,great tit,1965-04-17,12,107
1967,HV.0029.0,52.0493010020722,5.84500914806763,great tit,1967-06-06,8,157
1968,HV.0029.0,52.0493010020722,5.84500914806763,great tit,1968-06-11,10,163
1969,HV.0029.0,52.0493010020722,5.84500914806763,great tit,1969-06-17,8,168
1971,HV.0029.0,52.0493010020722,5.84500914806763,great tit,1971-05-31,7,151
1973,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1973-06-06,11,157
1974,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1974-04-15,10,105
1975,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1975-05-12,2,132
1976,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1976-06-10,1,162
1977,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1977-04-27,9,117
1978,HV.0029.0,52.0433253026058,5.84737165423915,pied flycatcher,1978-05-17,6,137
1980,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1980-04-21,8,112
1981,HV.0029.0,52.0433253026058,5.84737165423915,pied flycatcher,1981-05-14,6,134
1982,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1982-04-21,9,111
1983,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1983-04-27,11,117
1984,HV.0029.0,52.0433253026058,5.84737165423915,blue tit,1984-04-30,5,121
1985,HV.0029.0,52.0433253026058,5.84737165423915,coal tit,1985-05-15,5,135
1986,HV.0029.0,52.0433253026058,5.84737165423915,blue tit,1986-04-30,13,120
1987,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1987-04-25,12,115
1988,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1988-04-21,0,112
1989,HV.0029.0,52.0433253026058,5.84737165423915,blue tit,1989-04-22,10,112
1991,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1991-04-21,5,111
1992,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1992-06-16,6,168
1993,HV.0029.0,52.0433253026058,5.84737165423915,pied flycatcher,1993-05-04,6,124
1994,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1994-04-24,10,114
1995,HV.0029.0,52.0433253026058,5.84737165423915,pied flycatcher,1995-05-06,5,126
1996,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1996-05-02,10,123
1997,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1997-06-09,7,160
1998,HV.0029.0,52.0433253026058,5.84737165423915,great tit,1998-04-15,0,105
1999,HV.0029.0,52.0433253026058,5.84737165423915,blue tit,1999-04-14,11,104
2001,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2001-04-30,8,120
2002,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2002-05-06,10,126
2003,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2003-04-23,9,113
2005,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2005-04-17,11,107
2006,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2006-04-20,11,110
2007,HV.0029.0,52.0433253026058,5.84737165423915,nuthatch,2007-04-10,8,100
2008,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2008-04-22,11,113
2009,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2009-04-17,11,107
2010,HV.0029.0,52.0433253026058,5.84737165423915,pied flycatcher,2010-05-17,6,137
2011,HV.0029.0,52.0433253026058,5.84737165423915,pied flycatcher,2011-04-29,7,119
2012,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2012-04-22,0,113
2013,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2013-04-29,7,119
2014,HV.0029.0,52.0433253026058,5.84737165423915,blue tit,2014-04-10,0,100
2015,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2015-04-16,8,106
2017,HV.0029.0,52.0433253026058,5.84737165423915,pied flycatcher,2017-05-13,7,133
2019,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2019-04-07,10,97
2020,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2020-04-21,NA,112
2022,HV.0029.0,52.0433253026058,5.84737165423915,great tit,2022-04-22,10,112
2023,HV.0029.0,52.0433253026058,5.84737165423915,pied flycatcher,2023-05-03,6,123
2024,HV.0029.0,52.0433253026058,5.84737165423915,blue tit,2024-04-08,9,99
1955,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1955-05-01,12,121
1957,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1957-06-02,9,153
1959,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1959-04-16,10,106
1961,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1961-04-28,9,118
1963,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1963-04-28,10,118
1964,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1964-05-10,12,131
1965,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1965-04-22,9,112
1966,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1966-05-30,9,150
1967,HV.0030.0,52.0516615278794,5.84644284622569,coal tit,1967-05-26,10,146
1968,HV.0030.0,52.0516615278794,5.84644284622569,coal tit,1968-04-28,9,119
1969,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1969-06-12,9,163
1970,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1970-06-11,8,162
1971,HV.0030.0,52.0516615278794,5.84644284622569,great tit,1971-05-09,7,129
1972,HV.0030.0,52.0516615278794,5.84644284622569,blue tit,1972-04-23,13,114
1973,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1973-05-02,8,122
1975,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1975-04-28,8,118
1976,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1976-04-26,5,117
1977,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1977-05-03,0,123
1978,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1978-04-29,0,119
1979,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1979-06-12,7,163
1980,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1980-05-27,3,148
1981,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1981-05-05,8,125
1982,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,1982-05-16,6,136
1983,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1983-06-04,6,155
1984,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1984-04-29,8,120
1985,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1985-04-18,12,108
1986,HV.0030.0,52.0429192527609,5.84777561086632,blue tit,1986-06-10,7,161
1987,HV.0030.0,52.0429192527609,5.84777561086632,blue tit,1987-04-19,12,109
1988,HV.0030.0,52.0429192527609,5.84777561086632,blue tit,1988-04-26,8,117
1989,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,1989-05-16,6,136
1990,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1990-04-14,11,104
1991,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,1991-05-17,6,137
1993,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1993-04-20,10,110
1994,HV.0030.0,52.0429192527609,5.84777561086632,blue tit,1994-04-28,11,118
1995,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,1995-05-29,5,149
1996,HV.0030.0,52.0429192527609,5.84777561086632,blue tit,1996-04-28,12,119
1997,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1997-04-13,10,103
1998,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,1998-05-02,6,122
1999,HV.0030.0,52.0429192527609,5.84777561086632,great tit,1999-04-22,9,112
2000,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2000-05-02,7,123
2002,HV.0030.0,52.0429192527609,5.84777561086632,great tit,2002-04-30,10,120
2003,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2003-04-29,6,119
2005,HV.0030.0,52.0429192527609,5.84777561086632,great tit,2005-04-16,9,106
2007,HV.0030.0,52.0429192527609,5.84777561086632,great tit,2007-04-13,10,103
2008,HV.0030.0,52.0429192527609,5.84777561086632,great tit,2008-04-15,0,106
2009,HV.0030.0,52.0429192527609,5.84777561086632,great tit,2009-04-16,12,106
2010,HV.0030.0,52.0429192527609,5.84777561086632,great tit,2010-04-09,12,99
2012,HV.0030.0,52.0429192527609,5.84777561086632,great tit,2012-04-16,0,107
2013,HV.0030.0,52.0429192527609,5.84777561086632,pied flycatcher,2013-05-06,7,126
