dataset;sub_dataset;start_date;end_date;variable;description;description_sub
KNMI;Daily in situ;1-1-2024;1-6-2024;UNH: Hourly division in which UN was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;EV24: Potential evapotranspiration (Makkink) (in 0.1 mm);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"DD: Mean wind direction (in degrees) during the 10-minute period preceding the time of observation (360=north; 90=east; 180=south; 270=west; 0=calm 990=variable)";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;FH: Hourly mean wind speed (in 0.1 m/s);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;FF: Mean wind speed (in 0.1 m/s) during the 10-minute period preceding the time of observation;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;FX: Maximum wind gust (in 0.1 m/s) during the hourly division;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;T: Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;T10N: Minimum temperature (in 0.1 degrees Celsius) at 0.1 m in the preceding 6-hour period;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;TD: Dew point temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"SQ: Sunshine duration (in 0.1 hour) during the hourly division; calculated from global radiation (-1 for <0.05 hour)";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
