dataset;variable_short;variable_long;variable_description_nl;variable_description_eng
daily;TN;minTemp;Minimum temperatuur (in 0.1 graden Celsius);Minimum temperature (in 0.1 degrees Celsius)
daily;TNH;uurMinTemp;Uurvak waarin TN is gemeten;Hourly division in which TN was measured
daily;TX;maxTemp;Maximum temperatuur (in 0.1 graden Celsius);Maximum temperature (in 0.1 degrees Celsius)
daily;TXH;uurMaxTemp;Uurvak waarin TX is gemeten;Hourly division in which TX was measured
daily;T10N;minTemp10cm;Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius);Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius)
daily;T10H;dagdeelMinTemp10cm;"6-uurs tijdvak waarin T10N is gemeten; 6=0-6 UT; 12=6-12 UT; 18=12-18 UT; 24=18-24 UT";"6-hourly division in which T10N was measured; 6=0-6 UT; 12=6-12 UT; 18=12-18 UT; 24=18-24 UT"
daily;SQ;Zonneschijnduur;Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur);Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour)
daily;SP;percZonneschijnduur;Percentage van de langst mogelijke zonneschijnduur;Percentage of maximum potential sunshine duration
daily;Q;straling;Globale straling (in J/cm2);Global radiation (in J/cm2)
daily;DR;duurNeerslag;Duur van de neerslag (in 0.1 uur);Precipitation duration (in 0.1 hour)
daily;RH;dagTotaalNeerslag;Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
daily;RHX;maxUurNeerslag;Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
daily;RHXH;uurUurNeerslag;Uurvak waarin RHX is gemeten;Hourly division in which RHX was measured
daily;PG;gemLuchtdruk;Etmaalgemiddelde luchtdruk herleid tot zeeniveau (in 0.1 hPa) berekend uit 24 uurwaarden;Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values
daily;PX;maxUurLuchtdruk;Hoogste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa);Maximum hourly sea level pressure (in 0.1 hPa)
daily;PXH;uurMaxUurLuchtdruk;Uurvak waarin PX is gemeten;Hourly division in which PX was measured
daily;PN;minUurLuchtdruk;Laagste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa);Minimum hourly sea level pressure (in 0.1 hPa)
daily;PNH;uurMinUurLuchtdruk;Uurvak waarin PN is gemeten;Hourly division in which PN was measured
